13.12.2024 18:55:05 - Simulation: Step 0 done.   Volume: 4
13.12.2024 18:55:05 - Simulation: Step 1 done.   Volume: 8
13.12.2024 18:55:05 - Simulation: Step 2 done.   Volume: 11
13.12.2024 18:55:05 - Simulation: Step 3 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 4 done.   Volume: 8
13.12.2024 18:55:05 - Simulation: Step 5 done.   Volume: 11
13.12.2024 18:55:05 - Simulation: Step 6 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 7 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 8 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 9 done.   Volume: 9
13.12.2024 18:55:05 - Simulation: Step 10 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 11 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 12 done.   Volume: 11
13.12.2024 18:55:05 - Simulation: Step 13 done.   Volume: 10
13.12.2024 18:55:05 - Simulation: Step 14 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 15 done.   Volume: 12
13.12.2024 18:55:06 - Simulation: Step 16 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 17 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 18 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 19 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 20 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 21 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 22 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 23 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 24 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 25 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 26 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 27 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 28 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 29 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 30 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 31 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 32 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 33 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 34 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 35 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 36 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 37 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 38 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 39 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 40 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 41 done.   Volume: 11
13.12.2024 18:55:06 - Simulation: Step 42 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 43 done.   Volume: 10
13.12.2024 18:55:06 - Simulation: Step 44 done.   Volume: 9
13.12.2024 18:55:06 - Simulation: Step 45 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 46 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 47 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 48 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 49 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 50 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 51 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 52 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 53 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 54 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 55 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 56 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 57 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 58 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 59 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 60 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 61 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 62 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 63 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 64 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 65 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 66 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 67 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 68 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 69 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 70 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 71 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 72 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 73 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 74 done.   Volume: 9
13.12.2024 18:55:07 - Simulation: Step 75 done.   Volume: 10
13.12.2024 18:55:07 - Simulation: Step 76 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 77 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 78 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 79 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 80 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 81 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 82 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 83 done.   Volume: 9
13.12.2024 18:55:08 - Simulation: Step 84 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 85 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 86 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 87 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 88 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 89 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 90 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 91 done.   Volume: 9
13.12.2024 18:55:08 - Simulation: Step 92 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 93 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 94 done.   Volume: 9
13.12.2024 18:55:08 - Simulation: Step 95 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 96 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 97 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 98 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 99 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 100 done.   Volume: 9
13.12.2024 18:55:08 - Simulation: Step 101 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 102 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 103 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 104 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 105 done.   Volume: 10
13.12.2024 18:55:08 - Simulation: Step 106 done.   Volume: 11
13.12.2024 18:55:08 - Simulation: Step 107 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 108 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 109 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 110 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 111 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 112 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 113 done.   Volume: 11
13.12.2024 18:55:09 - Simulation: Step 114 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 115 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 116 done.   Volume: 8
13.12.2024 18:55:09 - Simulation: Step 117 done.   Volume: 8
13.12.2024 18:55:09 - Simulation: Step 118 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 119 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 120 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 121 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 122 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 123 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 124 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 125 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 126 done.   Volume: 11
13.12.2024 18:55:09 - Simulation: Step 127 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 128 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 129 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 130 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 131 done.   Volume: 11
13.12.2024 18:55:09 - Simulation: Step 132 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 133 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 134 done.   Volume: 11
13.12.2024 18:55:09 - Simulation: Step 135 done.   Volume: 10
13.12.2024 18:55:09 - Simulation: Step 136 done.   Volume: 11
13.12.2024 18:55:09 - Simulation: Step 137 done.   Volume: 9
13.12.2024 18:55:09 - Simulation: Step 138 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 139 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 140 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 141 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 142 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 143 done.   Volume: 9
13.12.2024 18:55:10 - Simulation: Step 144 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 145 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 146 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 147 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 148 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 149 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 150 done.   Volume: 11
13.12.2024 18:55:10 - Simulation: Step 151 done.   Volume: 8
13.12.2024 18:55:10 - Simulation: Step 152 done.   Volume: 9
13.12.2024 18:55:10 - Simulation: Step 153 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 154 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 155 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 156 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 157 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 158 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 159 done.   Volume: 9
13.12.2024 18:55:10 - Simulation: Step 160 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 161 done.   Volume: 11
13.12.2024 18:55:10 - Simulation: Step 162 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 163 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 164 done.   Volume: 9
13.12.2024 18:55:10 - Simulation: Step 165 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 166 done.   Volume: 10
13.12.2024 18:55:10 - Simulation: Step 167 done.   Volume: 12
13.12.2024 18:55:10 - Simulation: Step 168 done.   Volume: 11
13.12.2024 18:55:10 - Simulation: Step 169 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 170 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 171 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 172 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 173 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 174 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 175 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 176 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 177 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 178 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 179 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 180 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 181 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 182 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 183 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 184 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 185 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 186 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 187 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 188 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 189 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 190 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 191 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 192 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 193 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 194 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 195 done.   Volume: 9
13.12.2024 18:55:11 - Simulation: Step 196 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 197 done.   Volume: 11
13.12.2024 18:55:11 - Simulation: Step 198 done.   Volume: 10
13.12.2024 18:55:11 - Simulation: Step 199 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 200 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 201 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 202 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 203 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 204 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 205 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 206 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 207 done.   Volume: 9
13.12.2024 18:55:12 - Simulation: Step 208 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 209 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 210 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 211 done.   Volume: 9
13.12.2024 18:55:12 - Simulation: Step 212 done.   Volume: 9
13.12.2024 18:55:12 - Simulation: Step 213 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 214 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 215 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 216 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 217 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 218 done.   Volume: 11
13.12.2024 18:55:12 - Simulation: Step 219 done.   Volume: 9
13.12.2024 18:55:12 - Simulation: Step 220 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 221 done.   Volume: 9
13.12.2024 18:55:12 - Simulation: Step 222 done.   Volume: 10
13.12.2024 18:55:12 - Simulation: Step 223 done.   Volume: 10
